location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20221210T1200,0.9505287,85.0,26.111792,344.81415
20221210T1300,1.3105286,80.0,26.282465,346.5348
20221210T1400,2.0205286,69.0,16.09969,333.43497
20221210T1500,2.3705285,64.0,16.965895,342.7185
20221210T1600,2.3305285,63.0,14.759999,347.31964
20221210T1700,2.0805285,62.0,11.304229,350.83765
20221210T1800,1.0705286,66.0,7.9932976,352.23483
20221210T1900,-0.019471344,71.0,6.5693827,350.5377
20221210T2000,-0.6194713,74.0,5.6920996,341.56506
20221210T2100,-0.77947134,76.0,3.563818,315.0
20221210T2200,-0.70947134,77.0,1.8,270.0
20221210T2300,-0.7294713,77.0,2.52,270.0
20221211T0000,-0.8694713,78.0,3.6,270.0
20221211T0100,-0.89947134,79.0,1.4399999,270.0
20221211T0200,-0.93947136,79.0,0.8049845,153.43495
20221211T0300,-1.2094713,82.0,2.9024127,240.25513
20221211T0400,-1.4294714,85.0,4.3349743,265.23636
20221211T0500,-1.1694714,85.0,3.2399998,270.0
20221211T0600,-0.94947135,84.0,2.5959969,303.69006
20221211T0700,-0.77947134,84.0,1.08,360.0
20221211T0800,-0.8694713,84.0,0.71999997,270.0
20221211T0900,-0.18947133,76.0,0.8049845,206.56505
20221211T1000,0.5705287,70.0,2.0991426,149.03624
20221211T1100,1.9705287,62.0,2.3051248,141.34018
20221211T1200,3.3205285,57.0,2.5455842,135.0
20221211T1300,3.8905284,54.0,2.5455842,98.1301
20221211T1400,3.2105286,54.0,3.8268526,138.81407
20221211T1500,2.1705287,55.0,2.16,89.99999
20221211T1600,1.2805287,55.0,1.2979984,123.69006
20221211T1700,0.59052867,58.0,3.219938,116.56505
20221211T1800,0.10052866,61.0,5.3999996,143.1301
20221211T1900,-1.2694713,71.0,8.557102,157.75098
20221211T2000,-1.7694713,73.0,7.628263,160.70996
20221211T2100,-1.6894714,70.0,7.0911775,156.0375
20221211T2200,-1.8994713,71.0,5.904439,142.4314
20221211T2300,-2.0394714,71.0,5.904439,127.56859
20221212T0000,-2.0194714,70.0,6.12,118.07248
20221212T0100,-1.9894713,67.0,7.145796,130.91438
20221212T0200,-2.7594714,69.0,9.0,126.869896
20221212T0300,-3.1994715,72.0,10.990322,121.6075
20221212T0400,-3.4894714,72.0,9.693296,121.32869
20221212T0500,-3.8694715,69.0,10.630672,118.30075
20221212T0600,-3.7594714,69.0,10.315115,119.248825
20221212T0700,-3.6194715,69.0,9.511088,119.47589
20221212T0800,-3.8594716,70.0,9.659814,116.56505
20221212T0900,-3.6294715,67.0,10.805998,119.981636
20221212T1000,-2.4094715,61.0,11.753877,117.34987
20221212T1100,-0.8094713,52.0,13.237039,112.380135
20221212T1200,0.36052868,44.0,14.007655,115.90651
20221212T1300,0.98052865,41.0,14.33234,115.27772
20221212T1400,0.92052865,43.0,10.990322,121.6075
20221212T1500,0.78052866,46.0,14.372974,112.0679
20221212T1600,0.16052866,53.0,13.849477,117.89726
20221212T1700,-0.8694713,60.0,14.007655,115.90651
20221212T1800,-1.4094714,63.0,13.089354,121.50426
20221212T1900,-1.6094713,64.0,10.966713,113.19859
20221212T2000,-1.9994713,65.0,10.137692,106.50436
20221212T2100,-1.9294714,64.0,11.27553,106.69924
20221212T2200,-1.4794713,64.0,12.7279215,98.1301
20221212T2300,-1.1194713,61.0,13.441071,97.696045
20221213T0000,-1.2394713,60.0,12.261158,93.366455
20221213T0100,-1.1294713,57.0,7.5599995,89.99999
20221213T0200,-2.2394714,62.0,9.290511,125.537674
20221213T0300,-3.5194714,68.0,12.783802,122.34744
20221213T0400,-4.3794713,70.0,12.287555,121.82744
20221213T0500,-4.1694713,68.0,7.8954163,114.22774
20221213T0600,-3.5794713,65.0,5.771239,93.576324
20221213T0700,-3.3194714,63.0,5.0911684,98.1301
20221213T0800,-2.8794715,60.0,6.519877,96.34019
20221213T0900,-2.1794715,57.0,7.5942073,95.44032
20221213T1000,-0.8694713,50.0,10.948973,99.46232
20221213T1100,0.050528657,47.0,15.484185,107.59242
20221213T1200,0.5805287,49.0,15.716793,110.09523
20221213T1300,1.6405287,46.0,16.311613,112.036224
20221213T1400,2.1205285,46.0,16.78156,112.71441
20221213T1500,2.3105285,49.0,17.673029,123.36636
20221213T1600,1.4505286,62.0,17.786331,125.94211
20221213T1700,0.79052866,71.0,18.204042,114.53772
20221213T1800,0.37052867,78.0,19.586117,107.10272
20221213T1900,0.27052864,77.0,22.55106,106.69924
20221213T2000,-0.29947135,89.0,26.61323,113.096825
20221213T2100,-0.009471342,87.0,30.631746,113.55226
20221213T2200,0.29052866,82.0,36.719997,118.07249
20221213T2300,0.72052866,81.0,34.746994,124.01935
