Ville,Bateau,Date_depart,Date_arrive,Pays_depart,Pays_arrive
Marseille,MSC OPERA,26/09/2022 07:30,26/09/2022 16:16, GENOVA, BARCELONA
Marseille,VIKING SEA,26/09/2022 07:52,26/09/2022 18:17, MONACO, BARCELONA
Marseille,MSC ORCHESTRA,26/09/2022 08:03,26/09/2022 17:19, GENOVA, BARCELONA
Marseille,VIKING SKY,27/09/2022 07:04,27/09/2022 17:59, SETE, MONACO
Marseille,COSTA FORTUNA,27/09/2022 07:26,27/09/2022 17:03, BARCELONA, SAVONA
Marseille,WONDER OF THE SEAS,27/09/2022 07:58,27/09/2022 18:26, PALMA DE MALLORCA, LA SPEZIA
Marseille,MEIN SCHIFF 2,28/09/2022 05:45,28/09/2022 18:00, Inconnu, Inconnu
Marseille,REGAL PRINCESS,28/09/2022 07:07,28/09/2022 18:00, GIBRALTAR, GENOVA
Marseille,NAUTICA,28/09/2022 07:27,29/09/2022 20:00, SAINT-TROPEZ, BARCELONA
Marseille,AIDASTELLA,29/09/2022 06:30,29/09/2022 19:00, Inconnu, Inconnu
Marseille,RIVIERA,29/09/2022 10:00,29/09/2022 20:00, LA SPEZIA, ANTIBES
Marseille,VIKING SEA,30/09/2022 07:00,30/09/2022 18:00, Inconnu, Inconnu
Marseille,COSTA FORTUNA,30/09/2022 07:30,30/09/2022 17:00, Inconnu, Inconnu
Marseille,COSTA FIRENZE,30/09/2022 08:00,30/09/2022 19:00, GENOVA, BARCELONA
Marseille,MSC SEASIDE,30/09/2022 10:45,30/09/2022 19:00, VALENCIA, GENOVA
Marseille,MSC SEAVIEW ,01/10/2022 06:45,01/10/2022 17:00, BARCELONA, GENOVA
Marseille,COSTA PACIFICA,01/10/2022 07:00,01/10/2022 18:00, SAVONA, BARCELONA
Marseille,RIVIERA,01/10/2022 07:00,01/10/2022 18:00, ANTIBES, PALMA DE MALLORCA
Marseille,COSTA TOSCANA,01/10/2022 13:00,01/10/2022 19:00, Inconnu, Inconnu
Marseille,COSTA SMERALDA,02/10/2022 07:30,02/10/2022 18:00, SAVONA, BARCELONA
Marseille,MSC SPLENDIDA,02/10/2022 08:00,02/10/2022 17:00, GENOVA, BARCELONA
Marseille,MSC OPERA,03/10/2022 08:00,03/10/2022 16:00, GENOVA, BARCELONA
Marseille,RIVIERA,04/10/2022 07:00,04/10/2022 19:00, BARCELONA, MONACO
Marseille,WONDER OF THE SEAS,04/10/2022 08:00,04/10/2022 18:00, PALMA DE MALLORCA, LA SPEZIA
Marseille,COSTA FORTUNA,04/10/2022 09:00,04/10/2022 17:00, Inconnu, Inconnu
Marseille,VISION OF THE SEAS,05/10/2022 07:00,05/10/2022 18:00, Inconnu, Inconnu
Marseille,SPIRIT OF ADVENTURE,06/10/2022 07:00,06/10/2022 17:00, Inconnu, Inconnu
Marseille,MSC POESIA,06/10/2022 08:00,06/10/2022 17:00, GENOVA, PALMA DE MALLORCA
Marseille,COSTA FASCINOSA,06/10/2022 09:00,06/10/2022 17:00, Inconnu, Inconnu
Marseille,MSC ORCHESTRA,06/10/2022 09:00,06/10/2022 18:00, GENOVA, MALAGA
